action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,2458966,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,FC(F)(F)c1ccc2c(c1)N=C(c1ccccc1)CS2,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL482125,,CHEMBL482125,,1,http://qudt.org/vocab/unit#Percent,744385,=,1,1,=,,Inhibition,%,,8.4,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,8.4
,,2458967,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,CC(C)CCOc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL482124,,CHEMBL482124,,1,http://qudt.org/vocab/unit#Percent,744384,=,1,1,=,,Inhibition,%,,16.9,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,16.9
,,2458968,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,CCCOc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL444726,,CHEMBL444726,,1,http://qudt.org/vocab/unit#Percent,744383,=,1,1,=,,Inhibition,%,,84.7,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,84.7
,,2458969,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,COc1cc(C2=Nc3ccccc3SC2)cc(OC)c1OC,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480166,,CHEMBL480166,,1,http://qudt.org/vocab/unit#Percent,744380,=,1,1,=,,Inhibition,%,,23.6,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,23.6
,,2458970,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,COc1ccc(C2=Nc3ccccc3SC2)cc1OC,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480007,,CHEMBL480007,,1,http://qudt.org/vocab/unit#Percent,744304,=,1,1,=,,Inhibition,%,,22.8,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,22.8
,,2458971,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,COc1ccccc1C1=Nc2ccccc2SC1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL454789,,CHEMBL454789,,0,http://qudt.org/vocab/unit#Percent,744302,=,1,1,=,,Inhibition,%,,0.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,0.0
,,2458972,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,COc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL445769,,CHEMBL445769,,1,http://qudt.org/vocab/unit#Percent,744301,=,1,1,=,,Inhibition,%,,19.5,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,19.5
,,2458973,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,CCCOc1ccc(C2=CSc3ccccc3N2C)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL481678,,CHEMBL481678,,0,http://qudt.org/vocab/unit#Percent,744496,=,1,1,=,,Inhibition,%,,0.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,0.0
,,2458974,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,CSc1ccc(C2CSc3ccccc3N2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL481679,,CHEMBL481679,,1,http://qudt.org/vocab/unit#Percent,744498,=,1,1,=,,Inhibition,%,,28.2,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,28.2
,,2458975,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,COc1ccc(C2CSc3ccccc3N2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL445589,,CHEMBL445589,,1,http://qudt.org/vocab/unit#Percent,744497,=,1,1,=,,Inhibition,%,,10.4,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,10.4
,,2458976,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL772,RESERPINE,CHEMBL772,,1,http://qudt.org/vocab/unit#Percent,744500,=,1,1,=,,Inhibition,%,,81.6,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,81.6
,,2458977,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL71,CHLORPROMAZINE,CHEMBL71,,0,http://qudt.org/vocab/unit#Percent,744499,=,1,1,=,,Inhibition,%,,81.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,81.0
,,2458978,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,Fc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL444694,,CHEMBL444694,,0,http://qudt.org/vocab/unit#Percent,744381,=,1,1,=,,Inhibition,%,,0.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,0.0
,,2458979,[],CHEMBL1015715,Inhibition of NorA pump-mediated ethidium bromide efflux in Staphylococcus aureus K1199B at 50 uM by fluorimetric analysis,B,,,BAO_0000201,BAO_0000357,single protein format,O=[N+]([O-])c1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL445549,,CHEMBL445549,,1,http://qudt.org/vocab/unit#Percent,744382,=,1,1,=,,Inhibition,%,,19.6,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,INH,%,UO_0000187,,19.6
,,2459011,[],CHEMBL1015719,Inhibition of NorA in Staphylococcus aureus ATCC 25923 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,c1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL481947,,CHEMBL481947,,0,,744298,=,1,0,=,,FC,,,8.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,8.0
,,2459012,[],CHEMBL1015719,Inhibition of NorA in Staphylococcus aureus ATCC 25923 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,Cc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL481948,,CHEMBL481948,,0,,744299,=,1,0,=,,FC,,,4.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,4.0
,,2459013,[],CHEMBL1015724,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,Clc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL501374,,CHEMBL501374,,0,,744300,=,1,0,=,,FC,,,4.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,4.0
,,2459014,[],CHEMBL1015720,Inhibition of NorA deficient Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,Cc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL481948,,CHEMBL481948,,0,,744299,=,1,0,=,,FC,,,8.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,8.0
,,2459015,[],CHEMBL1015719,Inhibition of NorA in Staphylococcus aureus ATCC 25923 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,Clc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL501374,,CHEMBL501374,,0,,744300,=,1,0,=,,FC,,,4.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,4.0
,,2459016,[],CHEMBL1015720,Inhibition of NorA deficient Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,Clc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL501374,,CHEMBL501374,,0,,744300,=,1,0,=,,FC,,,4.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,4.0
,,2459017,[],CHEMBL1015719,Inhibition of NorA in Staphylococcus aureus ATCC 25923 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL445769,,CHEMBL445769,,0,,744301,>=,1,0,>=,,FC,,,8.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,8.0
,,2459018,[],CHEMBL1015719,Inhibition of NorA in Staphylococcus aureus ATCC 25923 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1cccc(C2=Nc3ccccc3SC2)c1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480006,,CHEMBL480006,,0,,744303,=,1,0,=,,FC,,,4.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,4.0
,,2459019,[],CHEMBL1015724,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1cccc(C2=Nc3ccccc3SC2)c1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480006,,CHEMBL480006,,0,,744303,=,1,0,=,,FC,,,8.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,8.0
,,2459020,[],CHEMBL1015724,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL445769,,CHEMBL445769,,0,,744301,=,1,0,=,,FC,,,16.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,16.0
,,2459021,[],CHEMBL1015722,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 12.5 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL445769,,CHEMBL445769,,0,,744301,=,1,0,=,,FC,,,4.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,4.0
,,2459022,[],CHEMBL1015721,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 6.25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL445769,,CHEMBL445769,,0,,744301,=,1,0,=,,FC,,,2.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,2.0
,,2459023,[],CHEMBL1015719,Inhibition of NorA in Staphylococcus aureus ATCC 25923 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1ccccc1C1=Nc2ccccc2SC1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL454789,,CHEMBL454789,,0,,744302,=,1,0,=,,FC,,,4.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,4.0
,,2459024,[],CHEMBL1015724,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1ccccc1C1=Nc2ccccc2SC1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL454789,,CHEMBL454789,,0,,744302,=,1,0,=,,FC,,,8.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,8.0
,,2459025,[],CHEMBL1015719,Inhibition of NorA in Staphylococcus aureus ATCC 25923 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1ccc(C2=Nc3ccccc3SC2)cc1OC,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480007,,CHEMBL480007,,0,,744304,=,1,0,=,,FC,,,4.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,4.0
,,2459026,[],CHEMBL1015720,Inhibition of NorA deficient Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1ccc(C2=Nc3ccccc3SC2)cc1OC,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480007,,CHEMBL480007,,0,,744304,=,1,0,=,,FC,,,2.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,2.0
,,2459027,[],CHEMBL1015724,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1ccc(C2=Nc3ccccc3SC2)cc1OC,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480007,,CHEMBL480007,,0,,744304,=,1,0,=,,FC,,,16.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,16.0
,,2459028,[],CHEMBL1015722,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 12.5 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1ccc(C2=Nc3ccccc3SC2)cc1OC,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480007,,CHEMBL480007,,0,,744304,=,1,0,=,,FC,,,4.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,4.0
,,2459029,[],CHEMBL1015721,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 6.25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1ccc(C2=Nc3ccccc3SC2)cc1OC,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480007,,CHEMBL480007,,0,,744304,=,1,0,=,,FC,,,2.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,2.0
,,2459030,[],CHEMBL1015719,Inhibition of NorA in Staphylococcus aureus ATCC 25923 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1cc(C2=Nc3ccccc3SC2)cc(OC)c1OC,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480166,,CHEMBL480166,,0,,744380,=,1,0,=,,FC,,,4.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,4.0
,,2459031,[],CHEMBL1015724,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1cc(C2=Nc3ccccc3SC2)cc(OC)c1OC,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480166,,CHEMBL480166,,0,,744380,=,1,0,=,,FC,,,16.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,16.0
,,2459032,[],CHEMBL1015722,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 12.5 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1cc(C2=Nc3ccccc3SC2)cc(OC)c1OC,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480166,,CHEMBL480166,,0,,744380,=,1,0,=,,FC,,,4.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,4.0
,,2459033,[],CHEMBL1015721,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 6.25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,COc1cc(C2=Nc3ccccc3SC2)cc(OC)c1OC,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL480166,,CHEMBL480166,,0,,744380,=,1,0,=,,FC,,,2.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,2.0
,,2459034,[],CHEMBL1015719,Inhibition of NorA in Staphylococcus aureus ATCC 25923 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,Fc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL444694,,CHEMBL444694,,0,,744381,=,1,0,=,,FC,,,4.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,4.0
,,2459035,[],CHEMBL1015720,Inhibition of NorA deficient Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,Fc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL444694,,CHEMBL444694,,0,,744381,=,1,0,=,,FC,,,2.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,2.0
,,2459036,[],CHEMBL1015724,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 25 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,Fc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL444694,,CHEMBL444694,,0,,744381,=,1,0,=,,FC,,,16.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,16.0
,,2459037,[],CHEMBL1015722,Inhibition of NorA overexpressing Staphylococcus aureus K2378 assessed as fold reduction of ciprofloxacin MIC at 12.5 ug/mL by microdilution technique,B,,,BAO_0000179,BAO_0000357,single protein format,Fc1ccc(C2=Nc3ccccc3SC2)cc1,,,CHEMBL1155078,J Med Chem,2008,,CHEMBL444694,,CHEMBL444694,,0,,744381,=,1,0,=,,FC,,,2.0,CHEMBL5114,Staphylococcus aureus,Quinolone resistance protein norA,1280,,,FC,,,,2.0
